SEAWEA_ID,INDEX,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group,area_poly_id,area_poly_anomalous,critical_reservoir_id
1952,174,15,Phra Prong,Phra Prong,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2000,Operational,26,443,13.41378062,7.515680892,11.40171353,120.0693292,4,102.0595,10,-999.9,-999.9,84.67850186,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,102.422002,13.998863,133,,-999,,131
1953,175,61,SEAWEA_UNKNOWN,Naruebodindrachinda,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-999,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,338,-999.9,295,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,102.027308,14.080838,,,-999,,166
1954,176,7018,Khun Dan Prakan Chon,Khun Dan Prakan Chon,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2004,Operational,93,2600,4.944644524,2.90474182,4.202947845,224.9,65.50659644,220,50.6,-999.9,-999.9,69.0680441,-999.9,-999.9,11,Irrigation,SEAWEA_UNKNOWN,101.323038,14.310513,68,,1770,,223
1957,177,10394,SEAWEA_UNKNOWN,khlong Siyat,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2000,Operational,-99,-99,-99,-99,-99,450,-99,420,17.2,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,101.653656,13.43925,,,1754,,224
1987,178,16,Dak Mi 4,Dak Mi 4,Dak Mi 4,Storage,Vietnam,2012,Operational,90,-999.9,-999.9,-999.9,10.44,-999.9,-999.9,312,-999.9,-999.9,-999.9,-999.9,-99,-999.9,190,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.9124,15.459,,,-999,,24
1988,179,7084,A Vuong,A Vuong,A Vuong,Storage,Vietnam,2008,Operational,80,228,9.555620273,5.569639765,9,357.7254696,126.3493794,343.5,41.4,-999.9,-999.9,355.6749188,320,-999.9,210,Hydropower,SEAWEA_UNKNOWN,107.617692,15.802139,2,,3273,,3273
1989,180,7134,Song Bung 4,Song Bung IV,Song Bung 4,Storage,Vietnam,2015,Operational,95,367,13.07794634,2.346204784,11.11625439,370.4820224,33.43653327,320,28.4,-999.9,-999.9,177.7953566,-99,-999.9,156,Hydropower,SEAWEA_UNKNOWN,107.640163,15.697276,152,,3272,,3272
1990,181,7135,Song Tranh 2,Song Tranh II,Song Tranh 2,Storage,Vietnam,2013,Operational,96,640,21.59617763,12.23957696,18.08,758.6915847,319.1454156,521,28.9,-999.9,-999.9,153.386739,-99,-999.9,190,Hydropower,SEAWEA_UNKNOWN,108.146412,15.331293,154,,26,,26
2001,182,39147,SEAWEA_UNKNOWN,Zahung,ZaHung,Storage,Vietnam,2009,Operational,8,-99,-99,-99,0.22,-99,-99,700,-99,-999.9,-999.9,-999.9,66.5,-999.9,30,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.654862,15.860103,,,-999,,253
2003,183,39155,SEAWEA_UNKNOWN,Song Tranh III,Song Tranh 3,Storage,Vietnam,2013,Operational,-99,-99,-99,-99,3.19,-99,-99,20,-99,-999.9,-999.9,-999.9,23,-999.9,62,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,108.142068,15.446135,,,27,One to many,27
2004,184,39182,SEAWEA_UNKNOWN,Song Bung 4A,Song Bung 4A,Storage,Vietnam,2012,Operational,41,-99,-99,-99,0.662,-99,-99,8.17,-99,-999.9,-999.9,-999.9,32,-999.9,49,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.680904,15.764578,,,29,,29
2007,185,7712,SEAWEA_UNKNOWN,Song Bung V,Song Bung 5,Storage,Vietnam,2013,Operational,13,-999.9,-999.9,-999.9,1.68,-999.9,-999.9,20.27,-999.9,-999.9,-999.9,-999.9,27,-999.9,57,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.7472,15.8077,,,30,,30
2008,186,7715,SEAWEA_UNKNOWN,Song Con II,Song Con 2,Storage,Vietnam,2009,Operational,12,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30.4,-999.9,-999.9,-999.9,-999.9,-99,-999.9,63,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.8081,15.9332,,,-999,,31
2013,187,109,Dak Mi 2,SEAWEA_UNKNOWN,Dak Mi 2 ,SEAWEA_UNKNOWN,Vietnam,2019,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,98,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.81561,15.22831,,,-999,,167
2014,188,110,Dak Mi 3,Dak Mi 3,Dak Mi 3 ,SEAWEA_UNKNOWN,Vietnam,2017,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,63,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.82557,15.31908,,,25,,25
2023,189,417,SEAWEA_UNKNOWN,Song Bung 2,Song Bung 2 ,SEAWEA_UNKNOWN,Vietnam,2017,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,100,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.396584,15.717241,,,46,,46
2025,190,430,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Song Kon 2 ,SEAWEA_UNKNOWN,Vietnam,2009,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,60,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.790059,15.985358,,,32,,32
2026,191,449,SEAWEA_UNKNOWN,Song Tranh 4,Song Tranh 4 ,SEAWEA_UNKNOWN,Vietnam,2020,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,48,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,108.14808,15.52705,,,28,,28
2037,192,185,Dak Mi 3 (Nh脿 m谩y th峄y 膽i峄噉 膼膬k Mi 3),SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Vietnam,2016,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,56,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.8338,15.33838,,,-999,,23
2038,193,18,Hoi Xuan,SEAWEA_UNKNOWN,Hoi Xuan ,SEAWEA_UNKNOWN,Vietnam,2020,Operational,43,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,102,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,105.052417,20.445577,,,56,,56
2039,194,7091,Cua Dat,Cua Dat,Cua Dat,Storage,Vietnam,2010,Operational,118,930,36.64415078,17.21559994,33,1165.807616,352.9173662,990.9364736,58,-999.9,-999.9,83.28663184,69.3,-999.9,97,Hydropower,SEAWEA_UNKNOWN,105.280457,19.881463,19,,3680,,225
2040,195,7401,SEAWEA_UNKNOWN,Trung Son,Trung Son ,SEAWEA_UNKNOWN,Vietnam,2017,Operational,84,513,-99,-99,13,-99,-99,348,45.1,-999.9,-999.9,-999.9,-999.9,-999.9,260,Hydropower,SEAWEA_UNKNOWN,104.83809,20.611871,,,58,,58
2042,196,39230,Hua Na,Hua Na,Hua Na,SEAWEA_UNKNOWN,Vietnam,2012,Operational,-99,-99,-99,-99,-99,-99,-99,5330,18.5,-999.9,-999.9,-999.9,-99,-999.9,180,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,105.083976,19.838737,,,53,,53
2045,197,39192,Ba Thuoc 1,SEAWEA_UNKNOWN,Ba Thuoc 1 ,SEAWEA_UNKNOWN,Vietnam,2017,Operational,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-999.9,-999.9,60,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,105.172535,20.319546,,,55,,55
2046,198,39193,Ba thuoc 2,Ba Thuoc II,Ba Thuoc 2,Run of River,Vietnam,2012,Operational,-99,-99,-99,-99,-99,-99,-99,-99,-99,-999.9,-999.9,-999.9,-99,-999.9,80,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,105.328376,20.32143,,,54,,54
2062,199,470,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Ta Co ,SEAWEA_UNKNOWN,Vietnam,2012,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.636001,20.973408,,,-999,,168
2063,200,496,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thanh Son ,SEAWEA_UNKNOWN,Vietnam,2019,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,30,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.9073,20.58964,,,57,,57
2076,201,124,Nam Sam 3,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2024,Operational,121.7,321.4,-999.9,-999.9,-999.9,443,-999.9,443,-999.9,595,-999.9,560,206,-999.9,156,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.51065,20.150237,,,-999,,169
2078,202,19,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Pac Ma ,SEAWEA_UNKNOWN,Vietnam,2019,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,14.19,-999.9,140,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,102.51615,22.56629,,,-999,,80
2079,203,50,Coc San,Coc San,Coc San,SEAWEA_UNKNOWN,Vietnam,2016,Operational,15,-99,-99,-99,-99,-99,-99,0.1299999999999999,-99,-999.9,-999.9,-999.9,-99,-999.9,30,Hydropower,SEAWEA_UNKNOWN,103.9054207,22.4139366,,,-999,,170
2080,204,51,Laqi,Maguan Daliangzi Hydro,Maguan Daliangzi Hydro,SEAWEA_UNKNOWN,China,2006,Operational,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,279,-999.9,32,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.274167,22.835278,,,-999,,171
2081,205,53,SEAWEA_UNKNOWN,Tukahe,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2008,Operational,59.2,300,12,-99,-99,78,-99,-99,16.7,-999.9,-999.9,-999.9,-999.9,-999.9,165,Hydropower,SEAWEA_UNKNOWN,102.2561,22.6078,,,79,,79
2083,206,57,Nam Chien 2 (Th峄y 膽i峄噉 N岷璵 Chi岷縩 2),Nam Chien 2,Nam Chien 2 ,Storage,Vietnam,2009,Operational,75,75,-999.9,-999.9,0.267,3.7,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,82.3,-999.9,32,Hydropower,SEAWEA_UNKNOWN,104.091389,21.5,,,-999,,172
2084,207,58,Yayangshan,Amojiang Sanjiangkou,Yayangshan Dam,Storage,China,2006,Operational,88,236,8.668653277,4.363136652,7.64,247,134,247,32.4,-999.9,-999.9,811.1095279,80,-999.9,120,Hydropower,SEAWEA_UNKNOWN,101.3951357,23.101757,183,,2544,,2544
2085,208,59,SEAWEA_UNKNOWN,Yunpeng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,2016,Operational,97,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,210,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,101.9364044,23.9612843,,,-999,,173
2086,209,335,Thac Ba,Thac Ba,Thac Ba,Storage,Vietnam,1971,Operational,48,657,229.4166287,82.95173489,195.0041344,2940,1589,2490,17.7,-999.9,-999.9,34.88105227,-999.9,-999.9,120,Hydropower,SEAWEA_UNKNOWN,105.021718,21.747162,163,,2001,,226
2087,210,1848,Hoa Binh,Hoa Binh,Hoa Binh,Storage,Vietnam,1994,Operational,128,660,212.6802287,124.4667463,208,9450,1846,9450,104.1,-999.9,-999.9,118.5766192,109,-999.9,1920,Hydropower,SEAWEA_UNKNOWN,105.31782,20.809831,36,,86,,86
2088,211,7028,Gelantan,Gelantan,Gelantan Dam,Storage,China,2009,Operational,113,466,10.81118519,7.424065415,7.97,348.2945752,196.5088397,296.0503889,51.4,-999.9,-999.9,444.2079268,-99,-999.9,390,Hydropower,SEAWEA_UNKNOWN,102.056621,22.703891,30,,1998,,1998
2089,212,7085,Ban Chat,Ban Chat,Ban Chat,Storage,Vietnam,2013,Operational,125,420,61.26323058,40.05494817,46.43,2053.452159,1101.932052,1702,36.7,-999.9,-999.9,458.3056003,-999.9,-999.9,220,Hydropower,SEAWEA_UNKNOWN,103.826241,21.861552,7,,84,,84
2090,213,7087,Bac Ha,Bac Ha,Coc Ly ,SEAWEA_UNKNOWN,Vietnam,2008,Operational,78,438,7.438703505,4.569811797,6,201.8285889,86.07980949,171,26.9,-999.9,-999.9,166.3781918,-99,-999.9,90,Hydropower,SEAWEA_UNKNOWN,104.196275,22.507928,6,,1970,,227
