SEAWEA_ID,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id
59,7653,Nam Xuang,Nam Xuang,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,18.2,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,102.462933,18.245046,
60,7662,Huai Talat,Huai Talat,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,18,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,103.084889,14.881082,
61,7672,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Cambodia,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,18.1,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,104.862696,10.667078,
62,9618,Xiangshui,Xiangshui,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1990,Operational,54,53,-99,-99,2.89,56.7,-99,56.7,16.7,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,100.631162,23.773252,
63,9667,Ximu,Unknown 10,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1956,Operational,-99,-99,-99,-99,1.42,-99,-99,-99,16,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Hydropower,SEAWEA_UNKNOWN,100.321269,23.334962,
64,9816,Mengba,Unknown 19,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,16.4,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,SEAWEA_UNKNOWN,100.283571,21.917006,
65,9859,Pa Khoang,SEAWEA_UNKNOWN,Pa Khoang ,SEAWEA_UNKNOWN,Vietnam,2010,Operational,-99,-99,-99,-99,4.08,-99,-99,-99,17,-999.9,-999.9,-999.9,-999.9,-999.9,4.5,Hydropower,Irrigation,103.090589,21.451759,
66,9985,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,-99,Potential,-99,-99,-99,-99,-99,-99,-99,-99,16.7,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.047247,20.247544,
67,10049,Mae Puem,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,-99,-99,-99,-99,-99,-99,-99,-99,16.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99,Irrigation,Flood control,99.869488,19.35574,
68,10140,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1992,Operational,-99,-99,-99,-99,-99,-99,-99,-99,16.5,-999.9,-999.9,-999.9,-999.9,-999.9,-99,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,103.88049,18.275756,
